DATE,REGION,PRODUCT,CAMPAIGN_NAME,CUSTOMER_ID,CHANNEL,RESPONSE_STATUS,REVENUE,SPEND,QUALIFIED,APPROVED,ISSUED,CREDIT_SCORE,PROPENSITY_CARD_SCORE
2025-06-12,West,Personal Loan,Personal loan awareness campaign,CUST_138198,Search,no_response,0.0,322.97,0,0,0,718,0.424
2025-08-12,South,Bonds,Bonds awareness campaign,CUST_017274,WhatsApp,engaged,0.0,88.93,1,0,0,589,0.713
2025-08-01,South,Credit Card,Credit card awareness campaign,CUST_015977,Mobile App,no_response,0.0,201.89,0,0,0,611,0.27
2025-07-13,West,Credit Card,Credit card awareness campaign,CUST_488492,Branch,converted,2182.39,45.53,1,1,1,720,0.775
2025-07-12,West,Stocks,Stocks awareness campaign,CUST_208812,Social,no_response,0.0,180.73,0,0,0,838,0.588
2025-08-20,South,Auto Loan,Automobile loan awareness campaign,CUST_315300,Search,no_response,0.0,333.91,0,0,0,678,0.312
2025-06-11,Midwest,Stocks,Stocks awareness campaign,CUST_208267,Mobile App,no_response,0.0,141.04,0,0,0,772,0.326
2025-08-05,South,Credit Card,Credit card awareness campaign,CUST_130473,Mobile App,engaged,0.0,130.76,1,0,0,691,0.641
2025-06-22,Midwest,Personal Loan,Objective loan awareness campaign,CUST_814067,CRM,no_response,0.0,42.48,0,0,0,723,0.326
2025-06-12,Northeast,Stocks,Stocks awareness campaign,CUST_464603,WhatsApp,no_response,0.0,114.35,0,0,0,793,0.641
2025-07-21,Northeast,Credit Card,Prepaid card awareness campaign,CUST_238325,CRM,engaged,0.0,48.45,1,1,0,699,0.69
2025-08-30,South,Personal Loan,Objective loan awareness campaign,CUST_464603,Affiliates,engaged,0.0,175.73,1,1,0,679,0.088
2025-08-09,Northeast,Personal Loan,Personal loan awareness campaign,CUST_823495,Search,engaged,0.0,152.1,1,1,0,805,0.404
2025-08-11,Midwest,Stocks,Stocks awareness campaign,CUST_772902,Search,no_response,0.0,305.63,0,0,0,723,0.33
2025-08-07,Midwest,Bonds,Bonds awareness campaign,CUST_375503,Social,engaged,0.0,206.2,1,1,0,785,0.772
2025-08-13,Northeast,Personal Loan,Objective loan awareness campaign,CUST_863961,Mobile App,no_response,0.0,138.89,0,0,0,679,0.799
2025-07-20,Midwest,Credit Card,Prepaid card awareness campaign,CUST_011614,Search,engaged,0.0,156.52,1,0,0,804,0.239
2025-06-15,West,Bonds,Bonds awareness campaign,CUST_452327,Social,engaged,0.0,221.44,1,0,0,736,0.465
2025-08-18,Northeast,Personal Loan,Objective loan awareness campaign,CUST_320428,CRM,no_response,0.0,54.51,0,0,0,746,0.377
2025-07-14,South,Personal Loan,Objective loan awareness campaign,CUST_280379,Social,no_response,0.0,115.79,0,0,0,728,0.42
2025-07-19,South,Credit Card,Credit card awareness campaign,CUST_938490,Search,engaged,0.0,123.08,1,0,0,690,0.388
2025-07-07,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_297035,CRM,no_response,0.0,50.31,0,0,0,720,0.596
2025-06-20,Northeast,Bonds,Bonds awareness campaign,CUST_593394,Affiliates,no_response,0.0,114.54,0,0,0,693,0.249
2025-08-26,West,Stocks,Stocks awareness campaign,CUST_697586,WhatsApp,no_response,0.0,75.99,0,0,0,778,0.272
2025-08-13,Northeast,Stocks,Stocks awareness campaign,CUST_669437,Mobile App,no_response,0.0,166.05,0,0,0,708,0.544
2025-07-31,Midwest,Personal Loan,Objective loan awareness campaign,CUST_744401,Search,engaged,0.0,199.35,1,0,0,630,0.43
2025-07-10,South,Credit Card,Credit card awareness campaign,CUST_192486,Mobile App,converted,2020.0,152.45,1,0,1,619,0.715
2025-08-17,South,Auto Loan,Automobile loan awareness campaign,CUST_627327,Mobile App,no_response,0.0,114.68,0,0,0,616,0.434
2025-07-23,South,Personal Loan,Objective loan awareness campaign,CUST_127747,Branch,no_response,0.0,71.14,0,0,0,757,0.059
2025-07-13,Midwest,Personal Loan,Objective loan awareness campaign,CUST_571558,WhatsApp,no_response,0.0,133.22,0,0,0,651,0.254
2025-07-14,West,Credit Card,Credit card awareness campaign,CUST_349260,WhatsApp,no_response,0.0,82.16,0,0,0,738,0.393
2025-06-24,West,Credit Card,Prepaid card awareness campaign,CUST_950583,WhatsApp,no_response,0.0,98.65,0,0,0,728,0.787
2025-06-12,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_286219,WhatsApp,engaged,0.0,54.78,1,1,0,716,0.028
